Id,BibNumber,RaceTime,EventId,SignUpId
221,13,6316,12_2FR,524
222,9,10100,12_2HM,610
223,14,7741,12_2FR,277
224,10,10365,12_2HM,277
225,11,24434,12_2HM,384
226,15,1445,12_2FR,384
227,16,7128,12_2FR,446
228,17,,12_2FR,471
229,12,20183,12_2HM,479
230,18,2670,12_2FR,479
231,13,18464,12_2HM,193
232,14,19639,12_2HM,262
233,19,3979,12_2FR,262
234,15,8726,12_2HM,505
235,20,,12_2FR,527
236,21,,12_2FR,227
237,22,4527,12_2FR,386
238,16,8865,12_2HM,543
239,17,8519,12_2HM,547
240,23,3645,12_2FR,547
241,18,17220,12_2HM,247
242,24,,12_2FR,250
243,25,5409,12_2FR,261
244,19,9079,12_2HM,261
245,26,3793,12_2FR,321
246,27,4968,12_2FR,470
247,20,10705,12_2HM,491
248,28,4214,12_2FR,491
249,29,8381,12_2FR,496
250,30,5815,12_2FR,600
251,31,9703,12_2FR,665
252,32,8856,12_2FR,215
253,21,8504,12_2HM,215
254,22,18196,12_2HM,278
255,33,4743,12_2FR,309
256,23,24814,12_2HM,452
257,34,3797,12_2FR,452
258,35,10653,12_2FR,454
259,36,3897,12_2FR,503
260,37,8217,12_2FR,556
261,24,11134,12_2HM,556
262,38,8364,12_2FR,643
263,25,11966,12_2HM,648
264,39,2021,12_2FR,648
265,40,6722,12_2FR,168
266,41,,12_2FR,396
267,42,7093,12_2FR,399
268,26,9720,12_2HM,477
269,27,,12_2HM,559
270,43,6497,12_2FR,575
271,28,4091,12_2HM,575
272,44,8597,12_2FR,583
273,45,9625,12_2FR,361
274,29,20796,12_2HM,535
275,30,19129,12_2HM,258
276,46,4052,12_2FR,340
277,47,,12_2FR,346
278,48,8571,12_2FR,437
279,49,4959,12_2FR,492
280,50,7163,12_2FR,572
281,31,8562,12_2HM,572
282,51,6074,12_2FR,614
283,32,5447,12_2HM,614
284,52,7422,12_2FR,224
285,53,10022,12_2FR,367
286,54,,12_2FR,468
287,33,0,12_2HM,468
288,55,10791,12_2FR,638
289,56,9737,12_2FR,656
290,34,7785,12_2HM,656
291,35,16269,12_2HM,264
292,57,3592,12_2FR,264
293,58,,12_2FR,304
294,59,9158,12_2FR,457
295,60,5547,12_2FR,485
296,36,15414,12_2HM,531
297,37,14299,12_2HM,577
298,38,15405,12_2HM,594
299,61,5167,12_2FR,172
300,39,18213,12_2HM,315
301,62,8796,12_2FR,540
302,63,9158,12_2FR,564
303,64,,12_2FR,593
304,40,0,12_2HM,593
305,65,5556,12_2FR,602
306,66,5417,12_2FR,627
307,67,6523,12_2FR,161
308,68,8044,12_2FR,162
309,41,4189,12_2HM,162
310,69,7404,12_2FR,178
311,70,4398,12_2FR,248
312,71,8234,12_2FR,497
313,72,3715,12_2FR,415
314,42,11871,12_2HM,427
315,73,4372,12_2FR,617
316,74,8916,12_2FR,383
317,75,4251,12_2FR,429
318,43,11441,12_2HM,429
319,44,20667,12_2HM,510
320,76,7811,12_2FR,516
321,77,9945,12_2FR,539
322,45,10873,12_2HM,539
323,78,7586,12_2FR,624
324,46,4006,12_2HM,624
325,79,,12_2FR,154
326,47,0,12_2HM,154
327,48,15440,12_2HM,210
328,80,10515,12_2FR,390
329,81,7301,12_2FR,466
330,49,10821,12_2HM,466
331,82,4674,12_2FR,507
332,50,22758,12_2HM,588
333,83,2181,12_2FR,588
334,84,,12_2FR,240
335,85,5737,12_2FR,640
336,86,8839,12_2FR,274
337,51,8803,12_2HM,274
338,87,10351,12_2FR,276
339,88,8675,12_2FR,322
340,52,9884,12_2HM,329
341,53,17047,12_2HM,428
342,89,,12_2FR,462
343,54,7603,12_2HM,663
344,90,7914,12_2FR,675
345,91,6731,12_2FR,301
346,92,9037,12_2FR,360
347,93,5530,12_2FR,366
348,55,13556,12_2HM,393
349,94,9098,12_2FR,500
350,95,7664,12_2FR,546
351,96,7983,12_2FR,587
352,97,6074,12_2FR,672
353,56,5069,12_2HM,672
354,98,8001,12_2FR,207
355,99,,12_2FR,352
356,57,0,12_2HM,352
357,100,,12_2FR,607
358,101,4787,12_2FR,374
359,58,9236,12_2HM,175
360,59,15051,12_2HM,359
361,102,,12_2FR,409
362,103,5633,12_2FR,678
363,104,10653,12_2FR,155
364,60,25194,12_2HM,184
365,61,10066,12_2HM,209
366,105,3566,12_2FR,209
367,62,,12_2HM,213
368,106,0,12_2FR,213
369,107,8787,12_2FR,377
370,108,9444,12_2FR,520
371,109,9124,12_2FR,196
372,63,20356,12_2HM,200
373,110,3122,12_2FR,200
374,111,,12_2FR,342
375,64,0,12_2HM,342
376,65,22455,12_2HM,441
377,112,4279,12_2FR,441
378,113,9720,12_2FR,460
379,66,4932,12_2HM,460
380,67,9340,12_2HM,463
381,114,4562,12_2FR,677
382,68,7719,12_2HM,677
383,69,16857,12_2HM,400
384,70,14377,12_2HM,495
385,115,2292,12_2FR,495
386,116,9115,12_2FR,597
387,71,10648,12_2HM,597
388,117,9184,12_2FR,622
389,72,22153,12_2HM,681
390,118,4303,12_2FR,283
391,119,9176,12_2FR,372
392,120,7517,12_2FR,373
393,73,8490,12_2HM,373
394,121,6800,12_2FR,381
395,74,15785,12_2HM,455
396,122,4191,12_2FR,455
397,123,6057,12_2FR,533
398,124,8821,12_2FR,580
399,125,6782,12_2FR,582
400,126,3974,12_2FR,376
401,75,21228,12_2HM,382
402,127,3179,12_2FR,382
403,128,6368,12_2FR,442
404,76,19552,12_2HM,467
405,129,3106,12_2FR,467
406,130,3862,12_2FR,488
407,77,9446,12_2HM,488
408,131,5599,12_2FR,522
409,132,,12_2FR,164
410,133,,12_2FR,288
411,78,0,12_2HM,288
412,134,9245,12_2FR,192
413,79,18118,12_2HM,351
414,135,6083,12_2FR,421
415,136,6506,12_2FR,443
416,137,,12_2FR,679
417,138,4113,12_2FR,177
418,80,,12_2HM,280
419,139,0,12_2FR,280
420,140,10420,12_2FR,311
421,141,,12_2FR,362
422,142,8372,12_2FR,450
423,143,8631,12_2FR,225
424,144,,12_2FR,358
425,81,0,12_2HM,358
426,82,21902,12_2HM,392
427,145,,12_2FR,590
428,83,16537,12_2HM,266
429,146,1794,12_2FR,266
430,147,6376,12_2FR,515
431,84,11170,12_2HM,515
432,148,6636,12_2FR,608
433,149,6437,12_2FR,370
434,85,5615,12_2HM,370
435,150,10679,12_2FR,385
436,86,7258,12_2HM,385
437,151,3888,12_2FR,528
438,152,,12_2FR,536
439,153,4640,12_2FR,550
440,154,3750,12_2FR,568
441,155,,12_2FR,616
442,87,19189,12_2HM,489
443,88,15025,12_2HM,567
444,156,6912,12_2FR,579
445,89,9181,12_2HM,579
446,90,16736,12_2HM,183
447,157,5754,12_2FR,364
448,158,8916,12_2FR,423
449,91,23656,12_2HM,444
450,159,2347,12_2FR,444
451,160,5003,12_2FR,493
452,161,7716,12_2FR,581
453,162,4579,12_2FR,618
454,92,4094,12_2HM,618
455,163,,12_2FR,189
456,93,13625,12_2HM,375
457,164,,12_2FR,646
458,165,,12_2FR,659
459,166,8355,12_2FR,205
460,94,19768,12_2HM,279
461,95,12684,12_2HM,338
462,96,16278,12_2HM,473
463,167,3602,12_2FR,473
464,97,20848,12_2HM,563
465,98,14636,12_2HM,217
466,99,20503,12_2HM,318
467,168,10454,12_2FR,416
468,100,4340,12_2HM,416
469,101,12493,12_2HM,483
470,102,10403,12_2HM,498
471,169,10057,12_2FR,534
472,103,5127,12_2HM,534
473,170,9858,12_2FR,613
474,171,7940,12_2FR,158
475,104,6897,12_2HM,158
476,172,5184,12_2FR,272
477,173,5201,12_2FR,273
478,174,5167,12_2FR,169
479,105,19794,12_2HM,176
480,175,2465,12_2FR,176
481,176,7836,12_2FR,195
482,177,8718,12_2FR,348
483,178,9564,12_2FR,357
484,106,11094,12_2HM,511
485,179,,12_2FR,615
486,107,0,12_2HM,615
487,180,4337,12_2FR,317
488,181,8554,12_2FR,629
489,108,10808,12_2HM,629
490,182,4415,12_2FR,657
491,183,,12_2FR,300
492,109,0,12_2HM,300
493,184,4424,12_2FR,307
494,110,7566,12_2HM,307
495,111,,12_2HM,312
496,185,7543,12_2FR,320
497,186,7914,12_2FR,324
498,187,10653,12_2FR,334
499,188,,12_2FR,458
500,112,0,12_2HM,458
501,189,,12_2FR,469
502,113,0,12_2HM,469
503,114,20339,12_2HM,476
504,190,8415,12_2FR,667
505,191,3914,12_2FR,157
506,115,21920,12_2HM,558
507,192,8977,12_2FR,609
508,193,8061,12_2FR,363
509,194,3637,12_2FR,371
510,195,3672,12_2FR,419
511,196,7197,12_2FR,245
512,116,9708,12_2HM,245
513,117,,12_2HM,456
514,197,3681,12_2FR,465
515,198,7188,12_2FR,586
516,118,6653,12_2HM,586
517,119,21635,12_2HM,294
518,120,,12_2HM,308
519,199,3767,12_2FR,402
520,121,9089,12_2HM,417
521,200,2443,12_2FR,417
522,122,17427,12_2HM,509
523,201,2910,12_2FR,509
524,123,7370,12_2HM,541
525,202,9271,12_2FR,152
526,203,9504,12_2FR,180
527,124,19682,12_2HM,305
528,204,2400,12_2FR,305
529,125,19198,12_2HM,525
530,205,3374,12_2FR,525
531,126,12701,12_2HM,576
532,206,,12_2FR,649
533,207,6886,12_2FR,166
534,127,,12_2HM,202
535,208,4640,12_2FR,295
536,209,,12_2FR,353
537,210,5149,12_2FR,422
538,128,13556,12_2HM,566
539,211,4596,12_2FR,630
540,129,3830,12_2HM,630
541,212,5141,12_2FR,464
542,130,7833,12_2HM,464
543,131,24581,12_2HM,344
544,213,1030,12_2FR,344
545,214,4856,12_2FR,395
546,132,4147,12_2HM,395
547,215,6497,12_2FR,432
548,133,7489,12_2HM,432
549,216,6670,12_2FR,506
550,217,5072,12_2FR,521
551,134,10956,12_2HM,551
552,218,1730,12_2FR,551
553,219,,12_2FR,625
554,135,,12_2HM,160
555,220,8243,12_2FR,214
556,221,6160,12_2FR,285
557,136,19958,12_2HM,297
558,222,5823,12_2FR,529
559,137,10689,12_2HM,529
560,138,13090,12_2HM,552
561,223,8735,12_2FR,578
562,139,3634,12_2HM,578
563,224,8796,12_2FR,220
564,225,10342,12_2FR,229
565,226,7543,12_2FR,246
566,227,6990,12_2FR,403
567,140,,12_2HM,413
568,228,9072,12_2FR,682
569,229,8580,12_2FR,173
570,141,5597,12_2HM,173
571,230,,12_2FR,256
572,231,7232,12_2FR,341
573,142,5380,12_2HM,341
574,232,6160,12_2FR,356
575,233,3974,12_2FR,404
576,234,6938,12_2FR,538
577,235,4320,12_2FR,569
578,143,6882,12_2HM,569
579,236,10593,12_2FR,680
580,144,10049,12_2HM,680
581,237,,12_2FR,238
582,145,14766,12_2HM,323
583,238,5244,12_2FR,418
584,239,4432,12_2FR,530
585,146,9897,12_2HM,530
586,240,10696,12_2FR,591
587,147,8770,12_2HM,591
588,241,4596,12_2FR,326
589,148,21272,12_2HM,336
590,242,5279,12_2FR,408
591,243,7508,12_2FR,436
592,244,5823,12_2FR,449
593,245,,12_2FR,562
594,246,10644,12_2FR,637
595,247,9642,12_2FR,650
596,149,9109,12_2HM,650
597,248,5823,12_2FR,296
598,150,10674,12_2HM,296
599,249,3767,12_2FR,310
600,250,3750,12_2FR,391
601,251,4571,12_2FR,412
602,151,3851,12_2HM,412
603,252,,12_2FR,486
604,152,21876,12_2HM,532
605,253,6912,12_2FR,673
606,254,5910,12_2FR,302
607,255,7180,12_2FR,406
608,256,9418,12_2FR,410
609,153,5687,12_2HM,410
610,257,8476,12_2FR,188
611,154,9107,12_2HM,221
612,258,8597,12_2FR,231
613,155,10257,12_2HM,231
614,156,17306,12_2HM,170
615,259,4208,12_2FR,289
616,157,5204,12_2HM,289
617,260,5676,12_2FR,303
618,158,7355,12_2HM,303
619,159,20987,12_2HM,620
620,261,5089,12_2FR,251
621,262,,12_2FR,313
622,160,0,12_2HM,313
623,263,7344,12_2FR,327
624,264,9228,12_2FR,474
625,161,9334,12_2HM,474
626,265,7033,12_2FR,354
627,266,5849,12_2FR,389
628,162,7944,12_2HM,389
629,267,7422,12_2FR,439
630,268,4406,12_2FR,554
631,163,7608,12_2HM,554
632,269,,12_2FR,668
633,164,15362,12_2HM,182
634,165,11232,12_2HM,287
635,270,9228,12_2FR,671
636,271,10515,12_2FR,232
637,166,10368,12_2HM,242
638,272,2336,12_2FR,242
639,273,,12_2FR,343
640,274,3603,12_2FR,394
641,275,7681,12_2FR,508
642,276,6756,12_2FR,171
643,167,6234,12_2HM,171
644,277,4139,12_2FR,275
645,168,9612,12_2HM,275
646,278,6791,12_2FR,560
647,169,9688,12_2HM,560
648,279,9210,12_2FR,661
649,280,,12_2FR,234
650,170,0,12_2HM,234
651,171,8873,12_2HM,257
652,172,,12_2HM,325
653,281,3612,12_2FR,501
654,173,,12_2HM,664
655,282,5374,12_2FR,187
656,174,16667,12_2HM,219
657,283,10653,12_2FR,290
658,175,11352,12_2HM,290
659,284,9348,12_2FR,349
660,176,15422,12_2HM,407
661,285,4199,12_2FR,350
662,286,8329,12_2FR,519
663,287,5918,12_2FR,545
664,177,6173,12_2HM,545
665,178,15466,12_2HM,632
666,288,4257,12_2FR,632
667,289,8536,12_2FR,328
668,179,11059,12_2HM,401
669,290,3430,12_2FR,401
670,180,9539,12_2HM,426
671,291,3221,12_2FR,426
672,292,10489,12_2FR,504
673,181,9130,12_2HM,504
674,293,4251,12_2FR,156
675,294,10333,12_2FR,216
676,295,5512,12_2FR,380
677,296,,12_2FR,424
678,297,,12_2FR,631
679,182,11327,12_2HM,265
680,298,6661,12_2FR,484
681,299,8847,12_2FR,604
682,300,6998,12_2FR,223
683,301,8640,12_2FR,233
684,183,4362,12_2HM,233
685,302,8476,12_2FR,241
686,303,10644,12_2FR,282
687,304,,12_2FR,480
688,184,19820,12_2HM,517
689,305,4579,12_2FR,651
690,306,7379,12_2FR,159
691,307,7240,12_2FR,186
692,308,9564,12_2FR,212
693,185,19276,12_2HM,252
694,309,3227,12_2FR,252
695,186,11949,12_2HM,260
696,310,3910,12_2FR,260
697,187,22542,12_2HM,337
698,188,24002,12_2HM,365
699,311,2500,12_2FR,365
700,189,23725,12_2HM,397
701,312,4253,12_2FR,397
702,190,11215,12_2HM,448
703,191,11310,12_2HM,606
704,313,7871,12_2FR,652
705,192,7008,12_2HM,652
706,314,5832,12_2FR,676
707,193,,12_2HM,226
708,315,,12_2FR,306
709,194,10074,12_2HM,542
710,316,,12_2FR,565
711,317,8649,12_2FR,612
712,195,7811,12_2HM,268
713,318,,12_2FR,292
714,196,0,12_2HM,292
715,319,4890,12_2FR,293
716,320,8960,12_2FR,368
717,321,8173,12_2FR,490
718,197,8352,12_2HM,490
719,322,5737,12_2FR,502
720,198,,12_2HM,557
721,323,0,12_2FR,557
722,324,4018,12_2FR,589
723,325,7836,12_2FR,623
724,199,8381,12_2HM,623
725,326,6091,12_2FR,639
726,327,6722,12_2FR,174
727,200,7202,12_2HM,174
728,201,,12_2HM,185
729,202,7914,12_2HM,573
730,328,,12_2FR,635
731,203,,12_2HM,647
732,329,0,12_2FR,647
733,330,9469,12_2FR,674
734,204,8707,12_2HM,674
735,331,8277,12_2FR,434
736,205,4734,12_2HM,434
737,332,3672,12_2FR,660
738,333,10593,12_2FR,339
739,334,4000,12_2FR,430
740,206,4839,12_2HM,430
741,335,6929,12_2FR,167
742,207,17392,12_2HM,204
743,336,1900,12_2FR,204
744,337,9003,12_2FR,291
745,208,7266,12_2HM,459
746,209,7811,12_2HM,472
747,338,7828,12_2FR,537
748,339,8830,12_2FR,239
749,340,,12_2FR,269
750,341,5590,12_2FR,420
751,210,21574,12_2HM,548
752,342,7404,12_2FR,316
753,343,4873,12_2FR,388
754,344,9444,12_2FR,431
755,345,9037,12_2FR,478
756,346,,12_2FR,570
757,347,9219,12_2FR,584
758,211,18420,12_2HM,634
759,348,6696,12_2FR,654
760,212,9744,12_2HM,654
761,349,7223,12_2FR,165
762,350,6843,12_2FR,235
763,213,24183,12_2HM,270
764,351,9478,12_2FR,414
765,214,21531,12_2HM,544
766,352,8735,12_2FR,621
767,215,5637,12_2HM,621
768,353,10308,12_2FR,633
769,216,,12_2HM,645
770,354,8476,12_2FR,163
771,355,7785,12_2FR,332
772,356,9919,12_2FR,425
773,217,11328,12_2HM,425
774,357,6212,12_2FR,513
775,358,,12_2FR,611
776,218,7707,12_2HM,208
777,359,8329,12_2FR,236
778,219,10059,12_2HM,236
779,360,6255,12_2FR,331
780,361,6912,12_2FR,658
781,362,7949,12_2FR,153
782,363,7500,12_2FR,253
783,220,7397,12_2HM,253
784,364,8649,12_2FR,299
785,365,9176,12_2FR,598
786,221,9720,12_2HM,670
787,366,7076,12_2FR,230
788,222,15276,12_2HM,243
789,223,20071,12_2HM,267
790,224,,12_2HM,453
791,367,8433,12_2FR,655
792,368,3707,12_2FR,284
793,369,,12_2FR,335
794,370,10437,12_2FR,451
795,225,24728,12_2HM,592
796,371,5512,12_2FR,259
797,226,5148,12_2HM,259
798,227,19440,12_2HM,263
799,228,20511,12_2HM,286
800,372,3066,12_2FR,286
801,373,4761,12_2FR,347
802,374,9988,12_2FR,378
803,375,,12_2FR,595
804,376,10290,12_2FR,405
805,377,7240,12_2FR,411
806,378,,12_2FR,561
807,229,0,12_2HM,561
808,379,10644,12_2FR,596
809,230,11457,12_2HM,644
810,380,5867,12_2FR,666
811,381,9815,12_2FR,201
812,382,,12_2FR,244
813,383,10048,12_2FR,355
814,384,5927,12_2FR,433
815,385,8260,12_2FR,445
816,386,8934,12_2FR,518
817,231,,12_2HM,641
818,387,3871,12_2FR,206
819,232,8358,12_2HM,206
820,388,3828,12_2FR,237
821,389,,12_2FR,345
822,233,0,12_2HM,345
823,390,8571,12_2FR,487
824,234,6455,12_2HM,487
825,391,7741,12_2FR,526
826,235,4726,12_2HM,526
827,236,,12_2HM,601
828,392,6428,12_2FR,619
829,237,,12_2HM,197
830,393,5564,12_2FR,271
831,238,17902,12_2HM,319
832,394,8346,12_2FR,330
833,239,10765,12_2HM,387
834,395,5028,12_2FR,494
835,240,16528,12_2HM,549
836,396,2223,12_2FR,549
837,241,16304,12_2HM,555
838,397,10178,12_2FR,626
839,242,13893,12_2HM,281
840,243,,12_2HM,298
841,244,24702,12_2HM,379
842,398,3707,12_2FR,398
843,399,8649,12_2FR,461
844,245,8787,12_2HM,636
845,400,7093,12_2FR,181
846,401,4666,12_2FR,190
847,402,4147,12_2FR,211
848,246,21799,12_2HM,222
849,403,,12_2FR,435
850,247,0,12_2HM,435
851,404,5201,12_2FR,440
852,405,6031,12_2FR,447
853,248,8202,12_2HM,447
854,249,20814,12_2HM,523
855,406,8528,12_2FR,653
856,407,3603,12_2FR,191
857,250,9674,12_2HM,191
858,408,10593,12_2FR,254
859,251,4975,12_2HM,254
860,409,4398,12_2FR,369
861,252,20105,12_2HM,499
862,410,3368,12_2FR,499
863,411,4925,12_2FR,603
864,412,6411,12_2FR,669
865,253,3627,12_2HM,669
866,413,8796,12_2FR,194
867,254,10702,12_2HM,194
868,414,10722,12_2FR,255
869,415,8986,12_2FR,333
870,416,9979,12_2FR,438
871,255,9979,12_2HM,482
872,256,10610,12_2HM,512
873,417,9962,12_2FR,574
874,418,,12_2FR,642
875,419,,12_2FR,662
876,1,8398,13_3HM,773
877,2,6134,13_3HM,811
878,1,0,13_3FM,811
879,2,19898,13_3FM,1010
880,3,7776,13_3HM,776
881,3,12995,13_3FM,936
882,4,20892,13_3FM,966
883,5,18300,13_3FM,716
884,4,7002,13_3HM,716
885,5,9806,13_3HM,726
886,6,14221,13_3FM,792
887,7,19915,13_3FM,1025
888,8,13772,13_3FM,791
889,9,19112,13_3FM,796
890,6,7975,13_3HM,999
891,10,,13_3FM,785
892,7,0,13_3HM,785
893,8,10575,13_3HM,705
894,9,10610,13_3HM,782
895,10,10230,13_3HM,798
896,11,10498,13_3HM,847
897,11,20779,13_3FM,917
898,12,7154,13_3HM,816
899,13,4346,13_3HM,708
900,12,0,13_3FM,708
901,13,23052,13_3FM,869
902,14,,13_3HM,712
903,14,0,13_3FM,712
904,15,7102,13_3HM,832
905,15,21747,13_3FM,945
906,16,17159,13_3FM,833
907,17,22507,13_3FM,980
908,16,8640,13_3HM,766
909,18,18386,13_3FM,724
910,19,19449,13_3FM,825
911,20,17418,13_3FM,714
912,17,6756,13_3HM,715
913,21,20362,13_3FM,715
914,18,8424,13_3HM,997
915,19,5322,13_3HM,761
916,22,12306,13_3FM,761
917,20,7603,13_3HM,932
918,23,7978,13_3FM,932
919,21,5469,13_3HM,977
920,24,,13_3FM,1003
921,25,15975,13_3FM,853
922,26,11768,13_3FM,795
923,22,6800,13_3HM,732
924,27,19025,13_3FM,878
925,23,4956,13_3HM,878
926,24,4700,13_3HM,930
927,25,8631,13_3HM,865
928,28,9451,13_3FM,865
929,29,8484,13_3FM,731
930,26,3879,13_3HM,731
931,30,,13_3FM,828
932,31,13694,13_3FM,1027
933,32,,13_3FM,871
934,27,0,13_3HM,871
935,28,7249,13_3HM,890
936,33,13251,13_3FM,890
937,34,12200,13_3FM,686
938,35,15863,13_3FM,733
939,29,9400,13_3HM,817
940,36,23924,13_3FM,910
941,37,18801,13_3FM,988
942,38,16874,13_3FM,975
943,30,8410,13_3HM,975
944,39,19734,13_3FM,759
945,31,8991,13_3HM,759
