Id,SignUpDate,Cost,SponsorshipTarget,RunnerId,CharityId,RaceKitOptionId,SignUpStatusId
76,2011-01-08 12:14:24.0000000,12.00,10.00,245,13,B,4
79,2011-02-05 00:43:12.0000000,18.00,20.00,187,13,C,2
87,2011-01-08 18:00:00.0000000,0.00,250.00,143,11,A,4
88,2011-04-04 08:24:00.0000000,12.00,20.00,147,13,B,4
90,2011-05-06 13:40:48.0000000,18.00,150.00,171,11,C,4
91,2011-02-05 10:48:00.0000000,0.00,250.00,244,11,A,4
94,2011-11-06 23:31:12.0000000,12.00,150.00,249,11,B,4
99,2011-03-06 17:31:12.0000000,12.00,10.00,115,13,B,3
106,2011-03-07 12:14:24.0000000,0.00,10.00,152,11,A,4
107,2011-07-06 15:36:00.0000000,12.00,20.00,216,11,B,4
108,2011-03-04 11:16:48.0000000,18.00,100.00,243,13,C,4
110,2011-06-08 10:04:48.0000000,12.00,500.00,179,11,B,3
111,2011-12-04 06:28:48.0000000,12.00,30.00,207,13,B,4
114,2011-11-07 12:43:12.0000000,0.00,20.00,165,13,A,4
115,2011-03-06 00:28:48.0000000,12.00,50.00,206,12,B,4
117,2011-03-07 16:04:48.0000000,12.00,20.00,151,12,B,4
118,2011-07-07 00:43:12.0000000,0.00,500.00,251,13,A,4
120,2011-01-06 20:09:36.0000000,0.00,20.00,117,13,A,4
122,2011-08-06 07:55:12.0000000,12.00,50.00,111,13,B,4
123,2011-10-07 05:16:48.0000000,12.00,25.00,213,11,B,4
129,2011-07-08 13:40:48.0000000,18.00,50.00,235,11,C,4
131,2011-04-06 02:52:48.0000000,18.00,20.00,205,12,C,4
134,2011-05-06 22:33:36.0000000,12.00,50.00,238,13,B,3
135,2011-05-05 04:33:36.0000000,18.00,250.00,134,11,C,4
139,2011-02-06 04:33:36.0000000,0.00,500.00,204,13,A,4
140,2011-08-07 05:45:36.0000000,18.00,500.00,193,11,C,4
141,2011-04-07 04:33:36.0000000,0.00,250.00,241,13,A,4
145,2011-03-05 08:38:24.0000000,0.00,30.00,166,12,A,4
149,2011-10-05 01:40:48.0000000,12.00,100.00,240,11,B,4
153,2012-10-04 09:04:36.0000000,15.00,50.00,255,11,B,4
155,2012-12-06 14:12:46.0000000,15.00,25.00,257,13,B,4
157,2012-03-03 18:29:05.0000000,0.00,100.00,259,12,A,4
161,2012-04-05 12:26:47.0000000,15.00,50.00,263,13,B,4
162,2012-07-02 10:42:14.0000000,0.00,50.00,264,13,A,4
163,2012-03-06 20:15:56.0000000,0.00,100.00,265,13,A,4
166,2012-08-02 16:26:24.0000000,0.00,500.00,268,11,A,4
172,2012-11-05 19:20:30.0000000,15.00,50.00,274,11,B,4
178,2012-02-06 11:58:34.0000000,0.00,500.00,280,12,A,4
179,2012-08-04 16:34:36.0000000,0.00,500.00,281,11,A,4
180,2012-09-02 14:37:24.0000000,20.00,25.00,282,13,C,4
181,2012-02-05 09:25:21.0000000,15.00,50.00,283,13,B,4
183,2012-11-03 15:03:10.0000000,20.00,25.00,285,12,C,4
188,2012-04-04 10:46:25.0000000,0.00,50.00,290,12,A,4
189,2012-01-05 11:42:43.0000000,15.00,50.00,291,11,B,3
192,2012-06-01 14:47:02.0000000,20.00,500.00,294,12,C,4
196,2012-11-06 16:45:33.0000000,0.00,100.00,298,13,A,4
198,2012-04-01 14:54:32.0000000,20.00,50.00,300,12,C,4
199,2012-07-04 13:57:04.0000000,15.00,50.00,301,11,B,4
200,2012-09-02 15:02:10.0000000,15.00,50.00,302,11,B,4
201,2012-08-04 14:33:56.0000000,0.00,500.00,303,12,A,4
202,2012-11-05 12:50:24.0000000,0.00,25.00,304,13,A,3
203,2012-04-03 14:48:46.0000000,20.00,500.00,305,13,C,4
206,2012-12-04 10:57:04.0000000,15.00,50.00,308,13,B,4
207,2012-12-01 09:42:46.0000000,15.00,50.00,309,13,B,4
208,2012-08-01 20:08:36.0000000,0.00,100.00,310,13,A,4
210,2012-12-05 16:05:23.0000000,15.00,50.00,312,12,B,4
212,2012-05-02 11:25:44.0000000,0.00,50.00,314,11,A,4
214,2012-01-02 08:19:24.0000000,0.00,100.00,316,13,A,4
216,2012-08-06 08:52:05.0000000,0.00,50.00,318,12,A,4
220,2012-12-02 12:38:36.0000000,0.00,500.00,322,12,A,4
227,2012-01-06 14:39:24.0000000,0.00,100.00,329,11,A,3
228,2012-09-06 14:08:44.0000000,0.00,100.00,330,13,A,4
229,2012-05-05 14:20:24.0000000,0.00,50.00,331,11,A,4
230,2012-05-05 13:17:46.0000000,15.00,25.00,332,11,B,4
232,2012-03-02 15:53:08.0000000,0.00,500.00,334,13,A,4
233,2012-11-05 12:43:12.0000000,15.00,100.00,335,13,B,4
236,2012-11-02 11:28:02.0000000,0.00,50.00,338,11,A,4
237,2012-11-05 11:05:25.0000000,0.00,100.00,339,11,A,4
238,2012-01-03 13:14:53.0000000,20.00,25.00,340,12,C,3
243,2012-05-04 14:22:42.0000000,0.00,50.00,345,12,A,4
244,2012-02-05 10:38:30.0000000,20.00,50.00,346,13,C,3
246,2012-02-03 14:53:05.0000000,0.00,50.00,348,13,A,4
248,2012-04-01 13:35:11.0000000,20.00,50.00,350,12,C,4
250,2012-12-05 09:03:27.0000000,0.00,500.00,352,13,A,3
253,2012-02-04 10:40:48.0000000,15.00,25.00,355,13,B,4
254,2012-01-01 13:35:11.0000000,20.00,50.00,356,12,C,4
255,2012-10-06 15:56:27.0000000,15.00,25.00,357,12,B,4
261,2012-07-05 11:44:44.0000000,15.00,50.00,363,11,B,4
263,2012-02-05 13:32:01.0000000,15.00,500.00,365,11,B,4
265,2012-01-01 09:46:48.0000000,0.00,50.00,367,12,A,4
269,2012-12-03 10:30:00.0000000,0.00,500.00,371,11,A,3
272,2012-09-02 15:44:12.0000000,15.00,100.00,374,12,B,4
273,2012-05-05 08:25:18.0000000,15.00,50.00,375,12,B,4
274,2012-04-05 14:37:41.0000000,20.00,50.00,376,12,C,4
277,2012-03-01 08:50:12.0000000,15.00,500.00,379,13,B,4
278,2012-10-05 16:37:47.0000000,0.00,500.00,380,13,A,4
279,2012-03-03 08:03:33.0000000,15.00,100.00,381,12,B,4
280,2012-07-02 16:58:22.0000000,15.00,25.00,382,13,B,3
281,2012-02-05 11:11:46.0000000,20.00,50.00,383,12,C,4
284,2012-01-02 08:15:39.0000000,15.00,100.00,386,11,B,4
286,2012-09-04 10:56:21.0000000,0.00,50.00,388,11,A,4
288,2012-02-05 12:09:04.0000000,20.00,500.00,390,13,C,3
289,2012-08-04 10:12:00.0000000,20.00,100.00,391,12,C,4
290,2012-01-03 16:26:07.0000000,15.00,50.00,392,12,B,4
291,2012-09-03 16:05:40.0000000,15.00,50.00,393,13,B,4
292,2012-01-06 13:39:56.0000000,0.00,50.00,394,13,A,3
294,2012-02-05 08:22:25.0000000,15.00,100.00,396,11,B,4
295,2012-06-05 08:23:51.0000000,15.00,500.00,397,11,B,4
296,2012-06-01 13:06:14.0000000,15.00,100.00,398,11,B,4
297,2012-05-03 16:21:48.0000000,0.00,50.00,399,13,A,4
299,2012-09-02 15:06:37.0000000,0.00,50.00,401,13,A,4
300,2012-11-06 11:26:10.0000000,15.00,100.00,402,11,B,3
302,2012-05-06 13:01:47.0000000,15.00,50.00,404,13,B,4
306,2012-09-02 10:40:31.0000000,15.00,100.00,408,13,B,3
310,2012-01-05 14:38:59.0000000,0.00,500.00,412,11,A,4
311,2012-08-04 08:33:48.0000000,15.00,50.00,413,12,B,4
314,2012-11-01 12:02:36.0000000,0.00,25.00,416,11,A,4
317,2012-11-01 16:45:59.0000000,0.00,500.00,419,11,A,4
322,2012-01-02 13:27:33.0000000,0.00,500.00,424,11,A,4
323,2012-07-05 13:41:14.0000000,0.00,50.00,425,13,A,4
324,2012-07-06 09:56:36.0000000,0.00,500.00,426,11,A,4
325,2012-05-02 12:24:55.0000000,15.00,50.00,427,11,B,3
327,2012-09-04 09:09:48.0000000,15.00,100.00,429,12,B,4
328,2012-06-03 09:22:54.0000000,15.00,50.00,430,11,B,4
329,2012-06-01 18:17:34.0000000,15.00,50.00,431,12,B,4
330,2012-03-04 16:57:13.0000000,0.00,500.00,432,13,A,4
332,2012-03-04 14:11:54.0000000,15.00,500.00,434,11,B,4
335,2012-11-05 09:35:08.0000000,20.00,50.00,437,11,C,3
343,2012-09-03 12:05:54.0000000,20.00,50.00,445,13,C,3
345,2012-06-01 08:36:14.0000000,0.00,100.00,447,11,A,3
346,2012-01-03 13:43:41.0000000,20.00,100.00,448,12,C,3
347,2012-07-04 12:06:37.0000000,15.00,25.00,449,11,B,4
348,2012-05-06 19:22:05.0000000,0.00,100.00,450,13,A,4
350,2012-04-05 16:28:08.0000000,15.00,50.00,452,12,B,4
352,2012-11-01 09:44:30.0000000,0.00,500.00,454,11,A,3
353,2012-09-04 13:54:12.0000000,0.00,500.00,455,12,A,3
354,2012-01-02 13:29:51.0000000,15.00,25.00,456,12,B,4
355,2012-03-03 11:49:03.0000000,0.00,50.00,457,12,A,4
358,2012-11-05 20:55:41.0000000,0.00,100.00,460,12,A,3
360,2012-01-06 10:12:09.0000000,0.00,500.00,462,12,A,4
362,2012-12-01 12:50:41.0000000,0.00,50.00,464,13,A,3
366,2012-11-05 12:49:06.0000000,15.00,50.00,468,12,B,4
368,2012-11-01 12:48:14.0000000,0.00,50.00,470,12,A,4
377,2012-03-05 09:54:09.0000000,0.00,25.00,479,11,A,4
379,2012-11-01 08:44:18.0000000,0.00,50.00,481,11,A,4
380,2012-09-05 08:03:42.0000000,0.00,50.00,482,13,A,4
382,2012-11-04 11:37:58.0000000,20.00,25.00,484,13,C,4
393,2012-03-04 10:09:42.0000000,20.00,25.00,495,13,C,4
396,2012-06-05 13:56:04.0000000,0.00,100.00,498,11,A,3
397,2012-12-04 09:30:58.0000000,20.00,100.00,499,13,C,4
398,2012-01-02 11:27:10.0000000,15.00,100.00,500,13,B,4
402,2012-04-05 15:34:08.0000000,15.00,25.00,504,11,B,4
403,2012-10-06 11:28:36.0000000,0.00,500.00,505,13,A,4
407,2012-08-01 16:22:05.0000000,0.00,50.00,509,11,A,4
408,2012-07-03 14:46:02.0000000,15.00,500.00,510,13,B,4
411,2012-05-05 13:58:48.0000000,15.00,500.00,513,11,B,4
412,2012-03-03 12:05:54.0000000,15.00,25.00,514,11,B,4
416,2012-04-03 10:47:00.0000000,0.00,500.00,518,11,A,4
418,2012-06-02 10:01:55.0000000,15.00,500.00,520,13,B,4
424,2012-01-02 15:44:04.0000000,20.00,100.00,526,11,C,3
426,2012-02-03 09:03:27.0000000,0.00,50.00,528,13,A,4
430,2012-08-04 08:30:29.0000000,0.00,50.00,532,13,A,4
433,2012-11-04 10:11:25.0000000,0.00,50.00,535,12,A,4
434,2012-04-04 09:57:27.0000000,15.00,50.00,536,12,B,4
436,2012-04-03 15:54:43.0000000,15.00,50.00,538,12,B,4
438,2012-04-03 13:35:37.0000000,0.00,50.00,540,12,A,4
439,2012-11-01 16:53:11.0000000,20.00,50.00,541,12,C,4
446,2012-12-06 09:39:27.0000000,0.00,100.00,548,13,A,4
447,2012-10-01 15:28:48.0000000,0.00,50.00,549,13,A,4
452,2012-08-03 11:01:49.0000000,0.00,500.00,554,12,A,4
454,2012-05-04 09:21:53.0000000,15.00,25.00,556,13,B,4
455,2012-03-04 10:31:26.0000000,0.00,500.00,557,13,A,4
457,2012-12-03 09:02:53.0000000,0.00,500.00,559,11,A,4
458,2012-08-05 15:15:33.0000000,15.00,50.00,560,12,B,3
459,2012-02-03 10:19:55.0000000,15.00,100.00,561,11,B,4
465,2012-11-05 13:58:57.0000000,15.00,500.00,567,12,B,4
467,2012-09-02 16:01:29.0000000,0.00,100.00,569,12,A,4
468,2012-06-04 10:13:00.0000000,0.00,50.00,570,11,A,3
470,2012-04-04 08:54:06.0000000,15.00,25.00,572,11,B,4
471,2012-04-01 13:23:48.0000000,0.00,500.00,573,12,A,3
484,2012-11-04 14:34:22.0000000,0.00,25.00,586,13,A,4
487,2012-04-06 10:30:43.0000000,0.00,50.00,589,13,A,4
489,2012-05-04 15:59:54.0000000,0.00,500.00,591,12,A,4
491,2012-12-04 15:53:00.0000000,0.00,500.00,593,12,A,4
492,2012-10-04 21:11:05.0000000,0.00,100.00,594,11,A,4
495,2012-04-01 09:30:40.0000000,0.00,50.00,597,12,A,4
497,2012-03-03 09:38:53.0000000,15.00,100.00,599,11,B,4
501,2012-10-01 16:46:42.0000000,15.00,500.00,603,12,B,4
503,2012-04-02 15:23:02.0000000,0.00,100.00,605,11,A,4
506,2012-02-04 09:41:02.0000000,0.00,25.00,608,12,A,4
510,2012-09-01 16:17:11.0000000,15.00,50.00,612,13,B,4
516,2012-02-01 14:38:33.0000000,20.00,25.00,618,13,C,4
517,2012-08-02 09:36:00.0000000,15.00,25.00,619,11,B,4
519,2012-02-01 14:01:32.0000000,15.00,50.00,621,13,B,4
520,2012-05-04 09:47:31.0000000,15.00,50.00,622,13,B,4
528,2012-08-01 08:23:08.0000000,15.00,500.00,630,12,B,4
530,2012-10-04 16:40:31.0000000,15.00,100.00,632,11,B,4
533,2012-05-04 09:45:04.0000000,0.00,50.00,635,11,A,4
535,2012-03-06 08:30:12.0000000,0.00,50.00,637,12,A,4
537,2012-05-06 08:47:11.0000000,15.00,50.00,639,11,B,4
538,2012-12-05 11:06:00.0000000,0.00,500.00,640,13,A,4
540,2012-05-02 13:34:02.0000000,20.00,50.00,642,11,C,4
541,2012-04-05 11:37:15.0000000,15.00,25.00,643,11,B,4
542,2012-08-06 08:21:24.0000000,0.00,50.00,644,13,A,4
546,2012-11-01 13:09:07.0000000,15.00,50.00,648,11,B,4
547,2012-05-05 16:00:29.0000000,0.00,50.00,649,13,A,4
551,2012-09-04 16:51:01.0000000,15.00,50.00,653,13,B,4
556,2012-12-01 09:05:20.0000000,15.00,100.00,658,11,B,4
559,2012-05-04 09:22:36.0000000,0.00,100.00,661,13,A,3
564,2012-12-01 13:21:22.0000000,0.00,50.00,666,13,A,4
568,2012-05-03 11:41:34.0000000,20.00,50.00,670,11,C,4
569,2012-01-03 08:19:41.0000000,0.00,25.00,671,12,A,4
573,2012-11-02 19:01:29.0000000,0.00,50.00,675,11,A,4
575,2012-10-04 16:11:34.0000000,20.00,25.00,677,13,C,4
576,2012-06-04 09:04:11.0000000,20.00,100.00,678,12,C,4
580,2012-04-04 15:16:34.0000000,0.00,50.00,682,12,A,4
582,2012-05-05 13:12:43.0000000,0.00,50.00,684,13,A,4
583,2012-09-04 08:36:49.0000000,15.00,50.00,685,13,B,4
584,2012-05-06 16:44:07.0000000,0.00,50.00,686,13,A,4
585,2012-07-06 13:31:00.0000000,15.00,25.00,687,12,B,4
586,2012-02-06 13:57:04.0000000,15.00,500.00,688,13,B,4
588,2012-11-05 15:57:45.0000000,20.00,50.00,690,11,C,4
589,2012-02-03 13:07:15.0000000,15.00,100.00,691,11,B,4
590,2012-05-03 14:35:05.0000000,0.00,50.00,692,12,A,3
593,2012-07-06 12:42:55.0000000,0.00,100.00,695,11,A,3
594,2012-12-06 15:38:18.0000000,15.00,50.00,696,13,B,4
597,2012-12-01 21:50:15.0000000,0.00,25.00,699,12,A,4
598,2012-09-06 08:28:36.0000000,20.00,50.00,700,13,C,4
599,2012-04-03 12:17:43.0000000,0.00,50.00,701,13,A,4
600,2012-04-05 14:30:37.0000000,0.00,100.00,702,12,A,4
603,2012-06-04 13:09:16.0000000,15.00,500.00,705,13,B,4
612,2012-08-04 13:23:23.0000000,0.00,25.00,714,13,A,4
613,2012-06-05 16:25:49.0000000,0.00,50.00,715,11,A,4
615,2012-02-03 12:56:10.0000000,0.00,50.00,717,12,A,3
617,2012-02-05 12:55:26.0000000,15.00,500.00,719,11,B,4
619,2012-08-05 12:43:12.0000000,15.00,100.00,721,12,B,4
621,2012-10-05 15:23:54.0000000,15.00,500.00,723,13,B,4
623,2012-06-02 12:12:23.0000000,20.00,25.00,725,13,C,4
630,2012-01-06 13:58:05.0000000,15.00,100.00,732,13,B,4
631,2012-04-04 11:55:58.0000000,20.00,50.00,733,12,C,3
632,2012-03-03 11:13:12.0000000,0.00,100.00,734,13,A,4
635,2012-05-06 08:49:12.0000000,15.00,50.00,737,13,B,3
638,2012-02-03 11:03:33.0000000,20.00,50.00,740,12,C,4
639,2012-01-06 12:22:28.0000000,0.00,50.00,741,11,A,4
641,2012-06-01 16:15:27.0000000,0.00,25.00,743,12,A,3
647,2012-04-05 12:32:07.0000000,15.00,50.00,749,12,B,3
648,2012-09-02 13:31:26.0000000,15.00,100.00,750,13,B,4
649,2012-03-04 14:22:08.0000000,15.00,100.00,751,13,B,3
650,2012-12-06 11:21:16.0000000,0.00,500.00,752,12,A,4
651,2012-09-03 14:31:47.0000000,0.00,500.00,753,11,A,4
653,2012-10-02 12:44:47.0000000,15.00,25.00,755,13,B,4
661,2012-10-03 08:57:24.0000000,20.00,50.00,763,12,C,4
662,2012-03-01 12:29:57.0000000,20.00,50.00,764,13,C,3
663,2012-12-06 12:37:35.0000000,0.00,500.00,765,11,A,4
664,2012-09-03 14:35:23.0000000,0.00,50.00,766,13,A,3
670,2012-07-04 14:38:59.0000000,0.00,500.00,772,11,A,4
680,2012-02-06 22:49:00.0000000,0.00,500.00,202,11,A,4
682,2012-04-05 17:29:20.0000000,20.00,100.00,188,13,C,4
686,2013-04-07 21:35:17.0000000,0.00,500.00,905,12,A,4
688,2013-10-04 17:38:50.0000000,15.00,200.00,863,11,B,3
689,2013-03-05 16:12:35.0000000,20.00,250.00,1020,14,C,4
690,2013-05-03 19:51:53.0000000,20.00,250.00,810,13,C,4
692,2013-05-07 11:31:21.0000000,0.00,500.00,1006,14,A,4
693,2013-07-05 21:43:55.0000000,0.00,500.00,876,14,A,4
698,2013-01-08 11:51:22.0000000,15.00,200.00,996,11,B,3
703,2013-07-04 20:49:03.0000000,20.00,250.00,1005,12,C,4
704,2013-02-04 21:00:17.0000000,0.00,100.00,783,11,A,4
705,2013-05-02 12:02:01.0000000,0.00,550.00,1080,11,A,4
706,2013-02-07 16:44:41.0000000,0.00,100.00,878,14,A,4
708,2013-07-05 07:43:58.0000000,0.00,100.00,1016,14,A,4
713,2013-05-03 20:09:27.0000000,15.00,200.00,991,13,B,3
715,2013-03-03 21:23:02.0000000,0.00,100.00,1001,13,A,4
722,2013-04-02 18:50:41.0000000,15.00,200.00,882,14,B,3
723,2013-01-03 22:52:36.0000000,20.00,250.00,922,14,C,4
727,2013-04-06 22:27:07.0000000,0.00,500.00,1011,12,A,4
733,2013-09-02 12:37:09.0000000,0.00,100.00,926,12,A,4
741,2013-04-05 15:00:52.0000000,15.00,200.00,870,11,B,3
743,2013-01-02 21:32:24.0000000,15.00,250.00,1069,12,B,4
744,2013-11-05 10:15:27.0000000,0.00,100.00,186,11,A,4
746,2013-03-03 06:17:34.0000000,15.00,200.00,979,12,B,3
747,2013-06-04 18:30:49.0000000,15.00,250.00,361,11,B,4
748,2013-05-07 09:37:35.0000000,20.00,250.00,936,12,C,4
749,2013-08-08 08:45:27.0000000,20.00,250.00,775,11,C,4
750,2013-08-08 14:35:57.0000000,0.00,100.00,838,12,A,4
751,2013-02-07 13:32:53.0000000,0.00,500.00,847,11,A,4
753,2013-11-02 11:15:30.0000000,0.00,500.00,966,14,A,4
754,2013-02-02 09:51:50.0000000,0.00,100.00,802,13,A,4
755,2013-02-03 08:27:53.0000000,0.00,550.00,919,11,A,4
756,2013-06-08 08:08:18.0000000,0.00,550.00,805,13,A,4
758,2013-01-07 18:51:07.0000000,20.00,250.00,998,13,C,4
759,2013-12-07 08:15:22.0000000,0.00,550.00,1032,13,A,4
760,2013-08-08 09:05:02.0000000,0.00,100.00,1051,11,A,4
766,2013-10-06 14:49:03.0000000,0.00,500.00,1040,14,A,4
771,2013-09-03 22:32:36.0000000,0.00,100.00,784,13,A,4
780,2013-03-07 20:22:08.0000000,0.00,550.00,1013,12,A,4
782,2013-05-03 15:42:12.0000000,0.00,100.00,1012,14,A,4
785,2013-11-06 20:24:26.0000000,15.00,200.00,845,14,B,3
786,2013-06-08 14:05:17.0000000,0.00,550.00,889,11,A,4
789,2013-09-08 09:50:33.0000000,15.00,250.00,1023,13,B,4
792,2013-10-08 18:37:44.0000000,0.00,500.00,937,14,A,4
793,2013-12-05 19:31:52.0000000,0.00,500.00,955,11,A,4
794,2013-11-08 15:26:47.0000000,15.00,250.00,1078,14,B,4
795,2013-11-03 22:19:38.0000000,15.00,250.00,1100,11,B,4
796,2013-06-04 18:46:39.0000000,15.00,250.00,527,13,B,4
799,2013-03-08 06:52:42.0000000,0.00,550.00,1085,13,A,4
800,2013-02-03 18:12:23.0000000,0.00,500.00,1066,13,A,4
803,2013-05-03 20:46:45.0000000,0.00,500.00,1098,13,A,4
806,2013-07-06 08:23:17.0000000,0.00,500.00,1027,12,A,4
809,2013-12-07 16:14:44.0000000,0.00,550.00,1074,11,A,4
810,2013-03-08 19:27:16.0000000,20.00,250.00,938,11,C,4
815,2013-04-04 07:40:13.0000000,0.00,500.00,1050,14,A,4
821,2013-05-07 10:09:59.0000000,20.00,250.00,942,12,C,4
825,2013-02-06 09:53:51.0000000,0.00,550.00,851,11,A,4
827,2013-11-08 15:10:22.0000000,0.00,550.00,778,12,A,4
831,2013-01-08 10:47:43.0000000,0.00,500.00,788,11,A,4
834,2013-02-04 08:06:26.0000000,15.00,200.00,1030,12,B,3
835,2013-02-02 21:48:32.0000000,0.00,500.00,817,14,A,4
837,2013-06-07 06:36:17.0000000,0.00,550.00,841,11,A,4
838,2013-10-06 18:12:49.0000000,15.00,250.00,906,11,B,4
844,2013-09-06 07:31:09.0000000,0.00,100.00,849,13,A,4
848,2013-07-04 18:07:12.0000000,0.00,550.00,898,13,A,4
849,2013-09-07 16:06:32.0000000,20.00,250.00,782,11,C,4
854,2013-12-07 17:55:32.0000000,0.00,550.00,250,11,A,4
856,2013-03-05 12:47:14.0000000,0.00,100.00,918,14,A,4
858,2013-01-08 15:26:21.0000000,15.00,200.00,972,13,B,3
860,2013-10-03 10:44:24.0000000,0.00,550.00,896,11,A,4
861,2013-05-06 07:41:05.0000000,20.00,250.00,869,13,C,4
868,2013-01-04 15:43:29.0000000,0.00,100.00,821,14,A,4
869,2013-06-07 21:50:59.0000000,0.00,550.00,808,14,A,4
870,2013-03-07 13:13:26.0000000,20.00,250.00,836,13,C,4
872,2013-12-03 12:04:11.0000000,15.00,200.00,935,13,B,3
873,2013-05-04 18:33:24.0000000,20.00,250.00,1104,13,C,4
875,2013-10-05 18:18:00.0000000,0.00,100.00,1044,13,A,4
876,2013-09-06 22:44:07.0000000,15.00,200.00,970,12,B,3
877,2013-02-02 06:24:03.0000000,0.00,100.00,795,11,A,4
881,2013-05-07 22:10:51.0000000,0.00,100.00,1014,12,A,4
882,2013-08-03 08:25:52.0000000,0.00,500.00,984,12,A,4
884,2013-12-04 19:35:20.0000000,15.00,250.00,1103,12,B,4
886,2013-06-05 20:51:56.0000000,20.00,250.00,929,12,C,4
887,2013-02-02 18:08:21.0000000,0.00,100.00,315,11,A,4
888,2013-04-03 18:54:43.0000000,15.00,200.00,997,13,B,3
891,2013-02-02 11:00:14.0000000,0.00,100.00,944,14,A,4
896,2013-03-07 16:25:24.0000000,0.00,500.00,960,12,A,4
897,2013-06-02 18:42:20.0000000,15.00,250.00,1039,13,B,4
903,2013-03-07 18:33:24.0000000,15.00,200.00,803,13,B,3
906,2013-03-08 20:12:20.0000000,15.00,250.00,811,11,B,4
911,2013-11-08 07:31:18.0000000,15.00,200.00,797,14,B,3
912,2013-06-08 15:32:15.0000000,15.00,250.00,1064,11,B,4
915,2013-07-07 22:06:40.0000000,0.00,100.00,461,12,A,4
921,2013-05-02 11:59:08.0000000,0.00,500.00,794,12,A,4
923,2013-05-06 12:59:28.0000000,0.00,500.00,1042,14,A,4
924,2013-02-02 21:26:56.0000000,0.00,550.00,800,14,A,4
927,2013-10-03 09:38:18.0000000,20.00,250.00,871,14,C,4
936,2013-11-06 18:29:57.0000000,15.00,250.00,789,11,B,4
937,2013-07-04 18:43:47.0000000,0.00,100.00,873,12,A,4
946,2013-07-07 07:22:31.0000000,15.00,200.00,1070,14,B,3
950,2013-03-08 07:19:12.0000000,0.00,550.00,824,11,A,4
951,2013-06-05 14:11:28.0000000,0.00,100.00,1094,11,A,4
952,2013-05-02 12:07:38.0000000,0.00,500.00,891,12,A,4
957,2013-06-07 18:53:43.0000000,0.00,500.00,1083,11,A,4
962,2013-06-06 15:19:35.0000000,15.00,250.00,1000,13,B,4
963,2013-11-02 11:55:06.0000000,0.00,550.00,1086,11,A,4
965,2013-08-06 17:54:32.0000000,15.00,250.00,801,11,B,4
966,2013-05-06 19:41:57.0000000,0.00,500.00,854,13,A,4
971,2013-10-08 10:30:43.0000000,15.00,250.00,777,13,B,4
974,2013-06-07 10:15:19.0000000,0.00,100.00,1031,11,A,4
977,2013-09-04 14:16:05.0000000,0.00,500.00,1037,12,A,4
978,2013-09-06 13:17:37.0000000,0.00,100.00,956,13,A,4
979,2013-06-05 08:20:24.0000000,15.00,200.00,1092,12,B,3
980,2013-10-03 20:48:37.0000000,0.00,500.00,867,13,A,4
982,2013-05-05 14:01:15.0000000,15.00,250.00,1077,12,B,4
983,2013-01-04 20:55:41.0000000,20.00,250.00,987,11,C,4
985,2013-09-08 20:41:43.0000000,0.00,500.00,868,12,A,4
987,2013-12-03 18:00:35.0000000,0.00,100.00,809,11,A,4
989,2013-12-03 12:28:22.0000000,20.00,250.00,978,13,C,4
996,2013-10-08 13:41:40.0000000,20.00,250.00,1073,11,C,4
